stage,object,role,shape,dtype,quantity,bytes_each,total_bytes,unit,simultaneous,release_gate,evidence,derivation_level
pair0_exact,retained_optical,final,"[384,351,301]",complex128,2,649119744,1298239488,bytes,R 7G + C 5G,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair0_exact,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,R 7G + C 5G,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair0_exact,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,R 7G + C 5G,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair0_exact,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,R 7G + C 5G,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair0_exact,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,R 7G + C 5G,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R1_ready_before_R0_reclaim,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,13,20406701952,265287125376,bytes,pair 12G plus R child G,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R1_ready_before_R0_reclaim,retained_optical,final,"[384,351,301]",complex128,2,649119744,1298239488,bytes,pair 12G plus R child G,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R1_ready_before_R0_reclaim,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,pair 12G plus R child G,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R1_ready_before_R0_reclaim,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,pair 12G plus R child G,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R1_ready_before_R0_reclaim,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,pair 12G plus R child G,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R1_ready_before_R0_reclaim,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,pair 12G plus R child G,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
C1_ready_after_R0_reclaim,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,7,20406701952,142846913664,bytes,R child G + C parent 5G + C child G,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
C1_ready_after_R0_reclaim,retained_optical,final,"[384,351,301]",complex128,2,649119744,1298239488,bytes,R child G + C parent 5G + C child G,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
C1_ready_after_R0_reclaim,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,R child G + C parent 5G + C child G,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
C1_ready_after_R0_reclaim,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,R child G + C parent 5G + C child G,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
C1_ready_after_R0_reclaim,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,R child G + C parent 5G + C child G,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
C1_ready_after_R0_reclaim,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,R child G + C parent 5G + C child G,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
fresh_process_resume,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,2,20406701952,40813403904,bytes,two independent self-contained active roots,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
fresh_process_resume,retained_optical,final,"[384,351,301]",complex128,2,649119744,1298239488,bytes,two independent self-contained active roots,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
fresh_process_resume,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,two independent self-contained active roots,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
fresh_process_resume,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,two independent self-contained active roots,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
fresh_process_resume,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,two independent self-contained active roots,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
fresh_process_resume,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,two independent self-contained active roots,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_exact,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,12,20406701952,244880423424,bytes,second pair full payload plus retained optics,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_exact,retained_optical,final,"[384,351,301]",complex128,4,649119744,2596478976,bytes,second pair full payload plus retained optics,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_exact,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,second pair full payload plus retained optics,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_exact,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,second pair full payload plus retained optics,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_exact,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,second pair full payload plus retained optics,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_exact,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,second pair full payload plus retained optics,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R2_ready_before_R1_reclaim,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,13,20406701952,265287125376,bytes,second R successor transient,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R2_ready_before_R1_reclaim,retained_optical,final,"[384,351,301]",complex128,4,649119744,2596478976,bytes,second R successor transient,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R2_ready_before_R1_reclaim,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,second R successor transient,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R2_ready_before_R1_reclaim,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,second R successor transient,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R2_ready_before_R1_reclaim,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,second R successor transient,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
R2_ready_before_R1_reclaim,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,second R successor transient,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
failed_handoff_stop,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,13,20406701952,265287125376,bytes,conservative additional failed full-G residue; no retries,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
failed_handoff_stop,retained_optical,final,"[384,351,301]",complex128,4,649119744,2596478976,bytes,conservative additional failed full-G residue; no retries,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
failed_handoff_stop,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,conservative additional failed full-G residue; no retries,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
failed_handoff_stop,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,1,20406701952,20406701952,bytes,conservative additional failed full-G residue; no retries,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
failed_handoff_stop,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,conservative additional failed full-G residue; no retries,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
failed_handoff_stop,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,conservative additional failed full-G residue; no retries,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_reclaimed,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,2,20406701952,40813403904,bytes,only next active PRE/CURRENT plus bounded evidence,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_reclaimed,retained_optical,final,"[384,351,301]",complex128,4,649119744,2596478976,bytes,only next active PRE/CURRENT plus bounded evidence,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_reclaimed,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,only next active PRE/CURRENT plus bounded evidence,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_reclaimed,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,only next active PRE/CURRENT plus bounded evidence,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_reclaimed,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,only next active PRE/CURRENT plus bounded evidence,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
pair1_reclaimed,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,only next active PRE/CURRENT plus bounded evidence,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_pair_exact,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,8,20406701952,163253615616,bytes,each track PRE POST 2G plus six sinks 2G; no Batch/NEXT,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_pair_exact,retained_optical,final,"[384,351,301]",complex128,6,649119744,3894718464,bytes,each track PRE POST 2G plus six sinks 2G; no Batch/NEXT,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_pair_exact,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,each track PRE POST 2G plus six sinks 2G; no Batch/NEXT,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_pair_exact,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,each track PRE POST 2G plus six sinks 2G; no Batch/NEXT,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_pair_exact,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,each track PRE POST 2G plus six sinks 2G; no Batch/NEXT,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_pair_exact,safety_margin,unmaterialized_stop_and_filesystem_headroom,bounded,bytes,1,8589934592,8589934592,bytes,each track PRE POST 2G plus six sinks 2G; no Batch/NEXT,never credited as data reclaimed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_retention,slow_generations,active_and_transition_payload,"[8048,351,301]x3",float64,2,20406701952,40813403904,bytes,candidate complete CURRENT POST and all final optical,actual exact and independent READY and quiescence and no future dependency,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_retention,retained_optical,final,"[384,351,301]",complex128,6,649119744,3894718464,bytes,candidate complete CURRENT POST and all final optical,retained,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_retention,source_copy_allowance,protected_campaign_input_if_copied,"[384,351,301]",complex128,1,649119744,649119744,bytes,candidate complete CURRENT POST and all final optical,retained input; zero-cost source copy is not assumed,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_retention,failed_handoff_residue,unreclaimable_failure,"[8048,351,301]x3",float64,0,20406701952,0,bytes,candidate complete CURRENT POST and all final optical,none; failure stops campaign,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
final_retention,metadata_allowance,reports_manifests_containers_logs,bounded,bytes,1,2147483648,2147483648,bytes,candidate complete CURRENT POST and all final optical,retained or governed by whitelist; prototype probe has limited extrapolation,phase lifetime model; actual code-layout qualification in implementation report,FORMULA_NOT_HPC_MEASUREMENT
